Age,Alaska,AleutiansEast,AleutiansWest,Anchorage,Bethel,BristolBay,Denali,Dillingham,FairbanksNorthStar,Haines,HoonahAngoon,Juneau,KenaiPeninsula,KetchikanGateway,KodiakIsland,LakeandPeninsula,MatanuskaSusitna,Nome,NorthSlope,NorthwestArctic,Petersburg,PrinceofWalesHyder,Sitka,Skagway,SoutheastFairbanks,ValdezCordova,Kusilvak,Wrangell,Yakutat,YukonKoyukuk,DerivedFromCensusTableB07001
Total:,42933,1067,1624,25754,850,116,123,385,10273,82,150,2838,3666,970,1654,144,6689,642,604,433,298,453,797,248,1018,1085,359,140,13,506,
    1 to 4 years,2764,5,16,1888,58,13,14,38,1079,0,7,106,171,50,19,32,580,9,15,30,20,43,30,0,69,91,20,7,8,67,
    5 to 19 years,8070,12,48,5489,135,50,8,153,1859,1,24,506,874,80,294,50,1216,110,56,54,23,148,99,30,316,201,100,35,1,98,
    20 to 24 years,9412,221,341,4938,200,4,7,29,2812,6,7,712,375,253,259,8,1245,141,152,79,51,38,230,123,118,131,66,63,0,83,
    25 to 29 years,5974,205,131,3542,105,0,29,34,1729,0,78,480,391,241,188,15,884,134,75,39,45,28,66,37,59,135,48,6,0,51,
    30 to 34 years,3756,140,81,2538,45,13,17,37,786,0,17,175,261,26,212,0,544,68,34,54,4,51,58,0,73,138,22,12,4,41,
    35 to 39 years,3192,121,223,1850,101,13,23,3,565,0,0,202,278,23,167,6,439,22,28,26,40,60,86,1,88,132,7,0,0,39,
    40 to 44 years,2549,84,342,1349,39,15,17,31,529,5,5,200,311,83,211,5,513,33,62,24,18,8,56,3,58,4,15,8,0,33,
    45 to 49 years,2128,54,287,1325,61,0,8,23,268,0,1,117,239,117,81,21,391,39,46,36,17,18,37,37,100,84,11,0,0,21,
    50 to 54 years,1955,93,102,1296,22,0,0,25,276,3,4,139,208,27,34,6,353,6,41,37,42,38,19,4,69,51,29,0,0,35,
    55 to 59 years,1243,122,16,585,24,7,0,3,120,60,1,63,240,40,111,0,208,70,23,40,4,5,47,12,8,41,20,9,0,15,
    60 to 64 years,1019,0,3,555,38,1,0,0,139,0,0,89,194,11,78,1,99,10,66,14,34,10,15,0,38,52,12,0,0,11,
    65 to 69 years,294,10,22,111,0,0,0,9,17,0,0,27,24,6,0,0,88,0,0,0,0,6,0,1,10,21,6,0,0,9,
    70 to 74 years,205,0,12,80,0,0,0,0,0,7,6,0,28,9,0,0,60,0,6,0,0,0,47,0,12,0,3,0,0,3,
    75 years and over,372,0,0,208,22,0,0,0,94,0,0,22,72,4,0,0,69,0,0,0,0,0,7,0,0,4,0,0,0,0,
