Age,Alaska,AleutiansEast,AleutiansWest,Anchorage,Bethel,BristolBay,Denali,Dillingham,FairbanksNorthStar,Haines,HoonahAngoon,Juneau,KenaiPeninsula,KetchikanGateway,KodiakIsland,LakeandPeninsula,MatanuskaSusitna,Nome,NorthSlope,NorthwestArctic,Petersburg,PrinceofWalesHyder,Sitka,Skagway,SoutheastFairbanks,ValdezCordova,Kusilvak,Wrangell,Yakutat,YukonKoyukuk,DerivedFromCensusTableB07001
Total:,2310,290,917,1885,176,122,86,104,1034,78,77,506,528,262,709,68,683,300,187,104,160,145,300,221,302,271,78,85,156,98,
    1 to 4 years,404,109,110,364,33,155,156,113,292,189,154,54,140,46,156,111,179,154,110,155,112,114,113,189,125,125,155,155,155,112,
    5 to 19 years,888,189,157,793,171,191,154,165,397,244,189,244,265,199,193,159,220,170,163,191,246,167,204,222,230,145,160,221,244,159,
    20 to 24 years,846,177,283,690,82,109,155,156,445,155,110,195,104,157,184,109,266,143,141,115,120,111,166,142,67,133,111,48,189,29,
    25 to 29 years,596,118,171,526,43,189,113,25,316,189,125,159,130,159,157,22,210,139,119,24,122,23,121,158,118,68,111,155,189,111,
    30 to 34 years,508,76,121,445,112,110,111,112,221,189,17,141,91,112,168,189,137,72,28,114,154,114,120,189,118,83,14,155,154,111,
    35 to 39 years,511,69,146,410,118,110,111,154,188,189,189,97,94,111,163,154,160,112,23,110,46,115,177,154,121,84,154,189,189,111,
    40 to 44 years,469,121,226,294,111,110,110,111,181,154,154,87,156,121,267,154,171,112,174,111,156,109,125,154,115,154,155,155,189,111,
    45 to 49 years,363,162,286,277,36,189,110,110,103,189,154,129,135,128,162,110,144,160,118,111,111,111,160,118,122,72,155,189,189,110,
    50 to 54 years,327,165,77,271,111,189,189,111,141,154,154,141,157,114,37,109,159,154,158,112,121,113,111,154,121,122,111,189,189,111,
    55 to 59 years,242,177,110,176,112,155,189,154,80,133,154,51,162,113,164,189,139,116,110,114,154,154,50,110,155,116,155,155,189,110,
    60 to 64 years,248,189,109,209,119,154,189,189,148,189,189,61,86,110,161,154,54,155,161,110,162,154,156,189,156,44,110,189,189,109,
    65 to 69 years,101,155,114,127,189,189,189,155,111,189,189,23,111,154,189,189,45,189,189,189,189,109,189,154,155,113,109,189,189,109,
    70 to 74 years,105,189,155,73,189,189,189,189,189,155,154,189,156,155,189,189,116,189,154,189,189,189,168,189,155,189,154,189,189,154,
    75 years and over,118,189,189,90,111,189,189,189,122,189,189,113,117,154,189,189,119,189,189,189,189,189,154,189,189,154,189,189,189,189,
