Age,Alaska,AleutiansEast,AleutiansWest,Anchorage,Bethel,BristolBay,Denali,Dillingham,FairbanksNorthStar,Haines,HoonahAngoon,Juneau,KenaiPeninsula,KetchikanGateway,KodiakIsland,Kusilvak,LakeandPeninsula,MatanuskaSusitna,Nome,NorthSlope,NorthwestArctic,Petersburg,PrinceofWalesHyder,Sitka,Skagway,SoutheastFairbanks,ValdezCordova,Wrangell,Yakutat,YukonKoyukuk,DerivedFromCensusTableB07001
Total:,2086,115,108,1750,168,36,150,58,1295,117,50,429,527,185,282,48,23,630,105,208,98,70,87,216,32,130,270,56,25,51,
    1 to 4 years,402,13,14,342,35,12,47,14,279,16,14,42,122,32,59,20,13,98,18,16,20,12,23,43,14,20,18,10,11,20,
    5 to 19 years,711,19,26,630,71,24,46,25,472,90,17,170,210,82,85,30,21,252,61,78,43,19,30,70,19,71,78,22,20,25,
    20 to 24 years,558,45,51,436,38,15,73,21,371,15,16,112,173,65,148,10,12,188,41,73,15,51,26,46,15,33,130,18,12,22,
    25 to 29 years,610,22,27,493,55,13,66,13,360,20,27,98,136,72,75,40,11,202,33,42,25,25,30,53,12,36,101,12,12,23,
    30 to 34 years,580,26,45,466,41,7,34,19,377,16,16,164,106,44,41,19,14,166,23,80,20,15,29,79,13,32,41,8,12,14,
    35 to 39 years,323,43,30,259,34,11,28,32,197,37,14,54,103,39,73,22,13,169,25,39,25,13,22,36,11,42,31,12,10,17,
    40 to 44 years,361,39,22,299,34,10,25,17,185,37,10,110,130,24,44,13,13,88,36,52,35,14,16,76,9,36,119,20,17,12,
    45 to 49 years,244,48,20,201,28,10,27,14,189,17,26,37,79,34,41,23,13,118,20,32,19,19,17,14,13,38,40,17,13,16,
    50 to 54 years,233,30,37,224,29,12,29,22,179,16,13,45,90,29,96,19,15,160,24,54,17,10,20,62,14,23,21,15,13,14,
    55 to 59 years,290,12,20,240,28,14,16,14,111,21,14,113,122,26,28,14,14,84,16,52,21,10,15,20,12,27,113,36,16,17,
    60 to 64 years,155,13,17,134,19,13,16,14,92,14,12,24,36,30,26,17,13,85,21,30,17,13,19,18,10,28,20,12,13,14,
    65 to 69 years,146,14,19,130,15,16,13,16,61,13,14,32,82,26,33,18,16,40,15,27,18,16,17,25,16,37,76,13,16,17,
    70 to 74 years,74,16,21,103,24,16,16,16,49,16,16,30,28,24,20,17,16,65,21,21,18,16,18,18,13,37,21,16,16,21,
    75 years and over,136,16,21,90,24,16,16,13,77,16,13,31,64,22,45,21,16,50,21,21,21,16,17,18,13,18,17,10,13,17,
