"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA_2000to2010.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"000",2000,"0-4",47592,24405,23187,
"000",2000,"5-9",53771,27519,26252,
"000",2000,"10-14",56661,29078,27583,
"000",2000,"15-19",50094,26366,23728,
"000",2000,"20-24",39892,21192,18700,
"000",2000,"25-29",42987,22186,20801,
"000",2000,"30-34",46486,24121,22365,
"000",2000,"35-39",55723,28555,27168,
"000",2000,"40-44",58325,29798,28527,
"000",2000,"45-49",53515,27950,25565,
"000",2000,"50-54",41437,22311,19126,
"000",2000,"55-59",27423,14698,12725,
"000",2000,"60-64",17327,9208,8119,
"000",2000,"65-69",12626,6371,6255,
"000",2000,"70-74",9881,4862,5019,
"000",2000,"75-79",6863,3066,3797,
"000",2000,"80-84",3695,1522,2173,
"000",2000,"85+",2634,903,1731,
"013",2000,"0-4",116,60,56,
"013",2000,"5-9",117,61,56,
"013",2000,"10-14",131,68,63,
"013",2000,"15-19",156,95,61,
"013",2000,"20-24",208,136,72,
"013",2000,"25-29",190,125,65,
"013",2000,"30-34",280,198,82,
"013",2000,"35-39",367,269,98,
"013",2000,"40-44",303,210,93,
"013",2000,"45-49",285,178,107,
"013",2000,"50-54",252,164,88,
"013",2000,"55-59",141,88,53,
"013",2000,"60-64",80,51,29,
"013",2000,"65-69",36,24,12,
"013",2000,"70-74",15,11,4,
"013",2000,"75-79",12,8,4,
"013",2000,"80-84",8,4,4,
"013",2000,"85+",0,0,0,
"016",2000,"0-4",257,129,128,
"016",2000,"5-9",248,137,111,
"016",2000,"10-14",266,139,127,
"016",2000,"15-19",260,139,121,
"016",2000,"20-24",336,209,127,
"016",2000,"25-29",451,307,144,
"016",2000,"30-34",751,529,222,
"016",2000,"35-39",726,496,230,
"016",2000,"40-44",674,467,207,
"016",2000,"45-49",562,370,192,
"016",2000,"50-54",460,312,148,
"016",2000,"55-59",203,132,71,
"016",2000,"60-64",146,87,59,
"016",2000,"65-69",58,28,30,
"016",2000,"70-74",37,20,17,
"016",2000,"75-79",17,10,7,
"016",2000,"80-84",6,0,6,
"016",2000,"85+",7,2,5,
"020",2000,"0-4",20033,10183,9850,
"020",2000,"5-9",21867,11154,10713,
"020",2000,"10-14",21501,11015,10486,
"020",2000,"15-19",19662,10121,9541,
"020",2000,"20-24",17694,9178,8516,
"020",2000,"25-29",19748,10101,9647,
"020",2000,"30-34",20365,10376,9989,
"020",2000,"35-39",23972,12024,11948,
"020",2000,"40-44",24238,11992,12246,
"020",2000,"45-49",21685,11033,10652,
"020",2000,"50-54",17118,8896,8222,
"020",2000,"55-59",11240,5822,5418,
"020",2000,"60-64",6918,3507,3411,
"020",2000,"65-69",4982,2398,2584,
"020",2000,"70-74",3913,1802,2111,
"020",2000,"75-79",2805,1168,1637,
"020",2000,"80-84",1479,580,899,
"020",2000,"85+",1063,318,745,
"050",2000,"0-4",1608,877,731,
"050",2000,"5-9",1912,1019,893,
