"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"000",2010,"0-4",53996,27896,26100,
"000",2010,"5-9",50887,26038,24849,
"000",2010,"10-14",50816,26147,24669,
"000",2010,"15-19",52141,27179,24962,
"000",2010,"20-24",54419,29706,24713,
"000",2010,"25-29",55419,29307,26112,
"000",2010,"30-34",47706,24861,22845,
"000",2010,"35-39",45833,23731,22102,
"000",2010,"40-44",47141,24646,22495,
"000",2010,"45-49",54726,28398,26328,
"000",2010,"50-54",56300,29288,27012,
"000",2010,"55-59",49971,26394,23577,
"000",2010,"60-64",35938,19231,16707,
"000",2010,"65-69",22202,11714,10488,
"000",2010,"70-74",13148,6662,6486,
"000",2010,"75-79",8892,4150,4742,
"000",2010,"80-84",5985,2620,3365,
"000",2010,"85-89",3273,1217,2056,
"000",2010,"90+",1438,443,995,
"013",2010,"0-4",123,68,55,
"013",2010,"5-9",105,55,50,
"013",2010,"10-14",88,40,48,
"013",2010,"15-19",104,63,41,
"013",2010,"20-24",249,187,62,
"013",2010,"25-29",301,208,93,
"013",2010,"30-34",213,144,69,
"013",2010,"35-39",242,182,60,
"013",2010,"40-44",355,251,104,
"013",2010,"45-49",431,299,132,
"013",2010,"50-54",340,223,117,
"013",2010,"55-59",264,174,90,
"013",2010,"60-64",171,104,67,
"013",2010,"65-69",75,46,29,
"013",2010,"70-74",33,18,15,
"013",2010,"75-79",25,14,11,
"013",2010,"80-84",15,12,3,
"013",2010,"85-89",5,4,1,
"013",2010,"90+",2,1,1,
"016",2010,"0-4",205,106,99,
"016",2010,"5-9",227,113,114,
"016",2010,"10-14",226,129,97,
"016",2010,"15-19",249,149,100,
"016",2010,"20-24",334,233,101,
"016",2010,"25-29",517,375,142,
"016",2010,"30-34",455,319,136,
"016",2010,"35-39",477,344,133,
"016",2010,"40-44",660,464,196,
"016",2010,"45-49",627,432,195,
"016",2010,"50-54",605,420,185,
"016",2010,"55-59",458,299,159,
"016",2010,"60-64",328,222,106,
"016",2010,"65-69",110,70,40,
"016",2010,"70-74",47,34,13,
"016",2010,"75-79",17,8,9,
"016",2010,"80-84",14,6,8,
"016",2010,"85-89",4,0,4,
"016",2010,"90+",1,0,1,
"020",2010,"0-4",21961,11349,10612,
"020",2010,"5-9",20618,10542,10076,
"020",2010,"10-14",20443,10407,10036,
"020",2010,"15-19",21187,10990,10197,
"020",2010,"20-24",24379,13059,11320,
"020",2010,"25-29",24820,12820,12000,
"020",2010,"30-34",20620,10458,10162,
"020",2010,"35-39",19569,9843,9726,
"020",2010,"40-44",19493,9892,9601,
"020",2010,"45-49",22394,11157,11237,
"020",2010,"50-54",22175,11084,11091,
"020",2010,"55-59",19088,9755,9333,
"020",2010,"60-64",13940,7186,6754,
"020",2010,"65-69",8347,4169,4178,
"020",2010,"70-74",4962,2328,2634,
"020",2010,"75-79",3482,1533,1949,
"020",2010,"80-84",2386,978,1408,
"020",2010,"85-89",1342,470,872,
"020",2010,"90+",620,189,431,
"050",2010,"0-4",1796,911,885,
"050",2010,"5-9",1762,919,843,
"050",2010,"10-14",1669,871,798,
"050",2010,"15-19",1618,832,786,
"050",2010,"20-24",1349,688,661,
"050",2010,"25-29",1210,621,589,
"050",2010,"30-34",1047,536,511,
"050",2010,"35-39",893,457,436,
"050",2010,"40-44",965,534,431,
"050",2010,"45-49",1162,655,507,
"050",2010,"50-54",1048,579,469,
"050",2010,"55-59",850,451,399,
"050",2010,"60-64",603,330,273,
"050",2010,"65-69",451,234,217,
"050",2010,"70-74",213,117,96,
"050",2010,"75-79",194,76,118,
"050",2010,"80-84",114,56,58,
"050",2010,"85-89",45,21,24,
"050",2010,"90+",24,10,14,
"060",2010,"0-4",48,25,23,
"060",2010,"5-9",59,26,33,
"060",2010,"10-14",72,34,38,
"060",2010,"15-19",65,37,28,
"060",2010,"20-24",49,30,19,
"060",2010,"25-29",65,35,30,
"060",2010,"30-34",47,26,21,
"060",2010,"35-39",58,30,28,
"060",2010,"40-44",67,40,27,
"060",2010,"45-49",109,57,52,
"060",2010,"50-54",116,63,53,
"060",2010,"55-59",103,58,45,
"060",2010,"60-64",56,35,21,
"060",2010,"65-69",37,23,14,
"060",2010,"70-74",21,10,11,
"060",2010,"75-79",15,7,8,
"060",2010,"80-84",6,4,2,
"060",2010,"85-89",3,0,3,
"060",2010,"90+",1,0,1,
"063",2010,"0-4",441,215,226,
"063",2010,"5-9",419,217,202,
"063",2010,"10-14",464,231,233,
"063",2010,"15-19",471,253,218,
"063",2010,"20-24",402,233,169,
"063",2010,"25-29",451,254,197,
"063",2010,"30-34",385,213,172,
"063",2010,"35-39",402,206,196,
"063",2010,"40-44",492,259,233,
"063",2010,"45-49",617,342,275,
"063",2010,"50-54",708,382,326,
"063",2010,"55-59",569,319,250,
"063",2010,"60-64",386,208,178,
"063",2010,"65-69",218,125,93,
"063",2010,"70-74",117,59,58,
