x,n,Alaska,AleutiansEast,AleutiansWest,Anchorage,Bethel,BristolBay,Denali,Dillingham,FairbanksNorthStar,Haines,HoonahAngoon,Juneau,KenaiPeninsula,KetchikanGateway,KodiakIsland,Kusilvak,LakeandPeninsula,MatanuskaSusitna,Nome,NorthSlope,NorthwestArctic,Petersburg,PrinceofWalesHyder,Sitka,Skagway,SoutheastFairbanks,ValdezCordova,Wrangell,Yakutat,YukonKoyukuk,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,43967,153,420,25608,1212,104,208,367,8437,202,211,2759,4675,1166,1308,586,163,9212,719,647,580,238,607,770,94,700,990,199,54,585,
0,5,3997,10,26,2506,151,5,17,41,929,14,20,209,402,98,145,97,17,984,73,84,81,20,63,65,5,67,97,18,5,65,
5,15,8322,20,56,4924,258,16,29,68,1741,30,36,467,838,217,277,147,31,1983,144,127,110,42,122,137,8,152,177,29,9,110,
20,5,5729,11,35,3259,142,10,18,47,1101,15,16,326,497,117,127,72,22,955,85,80,73,23,57,79,8,76,98,24,5,62,
25,5,6292,13,47,3770,166,15,26,44,1252,20,22,412,553,143,157,71,21,1099,100,82,79,26,56,103,13,78,133,24,6,64,
30,5,4732,16,41,2882,115,9,27,36,952,19,13,305,461,108,144,49,15,899,72,53,49,25,55,91,17,60,104,15,4,55,
35,5,3327,12,40,1899,76,12,18,26,645,15,14,220,336,94,109,36,10,653,48,38,34,20,39,60,12,52,65,10,4,40,
40,5,2679,13,38,1507,61,7,13,19,470,14,13,184,281,78,87,29,7,572,42,32,29,16,37,46,8,41,57,10,4,31,
45,5,2380,14,36,1271,60,9,15,21,372,18,13,171,278,72,67,23,9,477,37,38,33,14,41,42,5,43,66,13,6,36,
50,5,2152,17,36,1171,62,8,17,24,324,14,16,154,287,72,66,22,10,478,39,38,33,13,44,42,5,40,69,13,3,37,
55,5,1702,12,31,930,50,7,9,19,254,12,20,130,261,60,55,15,8,372,36,34,24,10,35,37,5,32,50,14,3,32,
60,5,1116,7,21,611,32,4,10,14,176,12,13,82,206,46,31,10,5,299,21,19,17,10,25,27,5,25,36,10,3,22,
65,5,622,4,10,348,15,2,4,6,89,10,8,42,128,26,22,5,3,186,11,9,6,9,17,11,2,13,18,7,1,15,
70,5,378,2,3,205,8,0,3,1,49,3,3,19,62,17,10,3,2,107,6,7,6,3,9,10,1,11,10,4,1,6,
75,Inf,539,2,0,325,16,0,2,1,83,6,4,38,85,18,11,7,3,148,5,6,6,7,7,20,0,10,10,8,0,10,
