x,n,AlaskaTotalIn,AlaskaMaleIn,AlaskaFemaleIn,AleutiansEastTotalIn,AleutiansEastMaleIn,AleutiansEastFemaleIn,AleutiansWestTotalIn,AleutiansWestMaleIn,AleutiansWestFemaleIn,AnchorageTotalIn,AnchorageMaleIn,AnchorageFemaleIn,BethelTotalIn,BethelMaleIn,BethelFemaleIn,BristolBayTotalIn,BristolBayMaleIn,BristolBayFemaleIn,DenaliTotalIn,DenaliMaleIn,DenaliFemaleIn,DillinghamTotalIn,DillinghamMaleIn,DillinghamFemaleIn,FairbanksNorthStarTotalIn,FairbanksNorthStarMaleIn,FairbanksNorthStarFemaleIn,HainesTotalIn,HainesMaleIn,HainesFemaleIn,HoonahAngoonTotalIn,HoonahAngoonMaleIn,HoonahAngoonFemaleIn,JuneauTotalIn,JuneauMaleIn,JuneauFemaleIn,KenaiPeninsulaTotalIn,KenaiPeninsulaMaleIn,KenaiPeninsulaFemaleIn,KetchikanGatewayTotalIn,KetchikanGatewayMaleIn,KetchikanGatewayFemaleIn,KodiakIslandTotalIn,KodiakIslandMaleIn,KodiakIslandFemaleIn,KusilvakTotalIn,KusilvakMaleIn,KusilvakFemaleIn,LakeandPeninsulaTotalIn,LakeandPeninsulaMaleIn,LakeandPeninsulaFemaleIn,MatanuskaSusitnaTotalIn,MatanuskaSusitnaMaleIn,MatanuskaSusitnaFemaleIn,NomeTotalIn,NomeMaleIn,NomeFemaleIn,NorthSlopeTotalIn,NorthSlopeMaleIn,NorthSlopeFemaleIn,NorthwestArcticTotalIn,NorthwestArcticMaleIn,NorthwestArcticFemaleIn,PetersburgTotalIn,PetersburgMaleIn,PetersburgFemaleIn,PrinceofWalesHyderTotalIn,PrinceofWalesHyderMaleIn,PrinceofWalesHyderFemaleIn,SitkaTotalIn,SitkaMaleIn,SitkaFemaleIn,SkagwayTotalIn,SkagwayMaleIn,SkagwayFemaleIn,SoutheastFairbanksTotalIn,SoutheastFairbanksMaleIn,SoutheastFairbanksFemaleIn,ValdezCordovaTotalIn,ValdezCordovaMaleIn,ValdezCordovaFemaleIn,WrangellTotalIn,WrangellMaleIn,WrangellFemaleIn,YakutatTotalIn,YakutatMaleIn,YakutatFemaleIn,YukonKoyukukTotalIn,YukonKoyukukMaleIn,YukonKoyukukFemaleIn,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,43967,24290,19677,153,92,61,420,261,159,25608,13616,11992,1212,667,545,104,58,46,208,113,95,367,203,164,8437,4518,3919,202,108,94,211,118,93,2759,1469,1290,4675,2524,2151,1166,633,533,1308,714,594,586,322,264,163,93,70,9212,4938,4274,719,409,310,647,361,286,580,326,254,238,134,104,607,335,272,770,392,378,94,51,43,700,381,319,990,543,447,199,100,99,54,34,20,585,330,255,
0,5,3997,2054,1943,10,5,5,26,14,12,2506,1316,1190,151,76,75,5,2,3,17,9,8,41,20,21,929,479,450,14,7,7,20,9,11,209,102,107,402,206,196,98,52,46,145,78,67,97,46,51,17,10,7,984,508,476,73,44,29,84,42,42,81,44,37,20,10,10,63,27,36,65,33,32,5,3,2,67,36,31,97,49,48,18,7,11,5,3,2,65,31,34,
5,5,3143,1607,1536,7,4,3,23,13,10,1916,976,940,103,53,50,4,2,2,11,6,5,26,12,14,701,356,345,10,5,5,11,6,5,159,78,81,327,165,162,76,38,38,115,61,54,56,31,25,12,7,5,782,406,376,51,23,28,51,25,26,41,20,21,19,10,9,47,27,20,51,24,27,4,2,2,59,30,29,72,38,34,10,5,5,3,2,1,41,23,18,
10,5,2573,1316,1257,6,4,2,16,8,8,1520,783,737,75,41,34,5,2,3,11,5,6,18,8,10,544,288,256,12,6,6,14,8,6,134,68,66,255,132,123,66,34,32,87,45,42,44,22,22,9,4,5,633,333,300,44,24,20,36,18,18,31,15,16,13,8,5,40,21,19,40,19,21,2,1,1,50,26,24,57,30,27,10,5,5,2,1,1,32,18,14,
15,5,2606,1388,1218,7,3,4,17,9,8,1488,740,748,80,40,40,7,4,3,7,2,5,24,12,12,496,259,237,8,6,2,11,7,4,174,87,87,256,128,128,75,38,37,75,41,34,47,23,24,10,5,5,568,300,268,49,25,24,40,20,20,38,20,18,10,6,4,35,20,15,46,21,25,2,1,1,43,20,23,48,25,23,9,4,5,4,2,2,37,19,18,
20,5,5729,3193,2536,11,7,4,35,19,16,3259,1693,1566,142,73,69,10,5,5,18,10,8,47,27,20,1101,583,518,15,7,8,16,9,7,326,163,163,497,264,233,117,60,57,127,67,60,72,38,34,22,10,12,955,497,458,85,44,41,80,43,37,73,41,32,23,12,11,57,30,27,79,34,45,8,4,4,76,40,36,98,53,45,24,10,14,5,3,2,62,32,30,
25,5,6292,3530,2762,13,8,5,47,28,19,3770,2040,1730,166,93,73,15,8,7,26,12,14,44,26,18,1252,671,581,20,10,10,22,11,11,412,216,196,553,306,247,143,78,65,157,78,79,71,40,31,21,12,9,1099,581,518,100,58,42,82,48,34,79,45,34,26,15,11,56,30,26,103,50,53,13,6,7,78,45,33,133,68,65,24,12,12,6,3,3,64,36,28,
30,5,4732,2704,2028,16,10,6,41,25,16,2882,1577,1305,115,68,47,9,5,4,27,15,12,36,19,17,952,516,436,19,10,9,13,8,5,305,170,135,461,257,204,108,62,46,144,78,66,49,30,19,15,9,6,899,500,399,72,45,27,53,33,20,49,29,20,25,13,12,55,31,24,91,50,41,17,9,8,60,34,26,104,60,44,15,9,6,4,3,1,55,34,21,
35,5,3327,1938,1389,12,8,4,40,26,14,1899,1051,848,76,48,28,12,7,5,18,9,9,26,15,11,645,359,286,15,9,6,14,7,7,220,124,96,336,191,145,94,49,45,109,60,49,36,24,12,10,7,3,653,368,285,48,29,19,38,25,13,34,22,12,20,12,8,39,23,16,60,33,27,12,6,6,52,26,26,65,36,29,10,6,4,4,3,1,40,23,17,
40,5,2679,1570,1109,13,8,5,38,27,11,1507,848,659,61,38,23,7,4,3,13,8,5,19,12,7,470,272,198,14,8,6,13,9,4,184,109,75,281,163,118,78,48,30,87,50,37,29,19,10,7,4,3,572,317,255,42,29,13,32,19,13,29,17,12,16,9,7,37,20,17,46,25,21,8,5,3,41,23,18,57,34,23,10,5,5,4,2,2,31,19,12,
