Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,000,Total,37873,20812,17061,45525,24973,20552,
2015 to 2020,000,0-4,3090,1573,1517,3467,1796,1671,
2015 to 2020,000,5-9,2648,1357,1291,2923,1494,1429,
2015 to 2020,000,10-14,2136,1089,1047,2509,1280,1229,
2015 to 2020,000,15-19,2108,1116,992,2888,1500,1388,
2015 to 2020,000,20-24,4299,2382,1917,4985,2746,2239,
2015 to 2020,000,25-29,5166,2852,2314,5182,2940,2242,
2015 to 2020,000,30-34,4303,2453,1850,4585,2629,1956,
2015 to 2020,000,35-39,3232,1885,1347,3709,2150,1559,
2015 to 2020,000,40-44,2222,1304,918,2659,1554,1105,
2015 to 2020,000,45-49,1953,1140,813,2312,1334,978,
2015 to 2020,000,50-54,1822,1040,782,2275,1295,980,
2015 to 2020,000,55-59,1631,920,711,2295,1239,1056,
2015 to 2020,000,60-64,1251,688,563,2167,1169,998,
2015 to 2020,000,65-69,836,456,380,1558,840,718,
2015 to 2020,000,70-74,506,261,245,911,480,431,
2015 to 2020,000,75-79,311,152,159,498,253,245,
2015 to 2020,000,80-84,182,79,103,287,140,147,
2015 to 2020,000,85-89,109,43,66,172,73,99,
2015 to 2020,000,90+,68,22,46,143,61,82,
2015 to 2020,013,Total,143,85,58,179,112,67,
2015 to 2020,013,0-4,4,1,3,5,3,2,
2015 to 2020,013,5-9,6,2,4,6,3,3,
2015 to 2020,013,10-14,6,3,3,6,4,2,
2015 to 2020,013,15-19,7,4,3,8,4,4,
2015 to 2020,013,20-24,12,6,6,15,8,7,
2015 to 2020,013,25-29,14,8,6,17,10,7,
2015 to 2020,013,30-34,13,8,5,16,10,6,
2015 to 2020,013,35-39,15,9,6,17,11,6,
2015 to 2020,013,40-44,12,7,5,13,8,5,
2015 to 2020,013,45-49,14,10,4,14,10,4,
2015 to 2020,013,50-54,15,9,6,20,13,7,
2015 to 2020,013,55-59,11,8,3,13,9,4,
2015 to 2020,013,60-64,8,5,3,12,8,4,
2015 to 2020,013,65-69,4,3,1,8,5,3,
2015 to 2020,013,70-74,1,1,0,4,3,1,
2015 to 2020,013,75-79,1,1,0,2,1,1,
2015 to 2020,013,80-84,0,0,0,2,1,1,
2015 to 2020,013,85-89,0,0,0,1,1,0,
2015 to 2020,013,90+,0,0,0,0,0,0,
2015 to 2020,016,Total,334,192,142,351,202,149,
2015 to 2020,016,0-4,20,9,11,22,8,14,
2015 to 2020,016,5-9,22,10,12,16,9,7,
2015 to 2020,016,10-14,13,7,6,12,6,6,
2015 to 2020,016,15-19,14,8,6,19,10,9,
2015 to 2020,016,20-24,28,16,12,26,14,12,
2015 to 2020,016,25-29,42,23,19,30,17,13,
2015 to 2020,016,30-34,33,19,14,30,16,14,
2015 to 2020,016,35-39,27,16,11,30,18,12,
2015 to 2020,016,40-44,28,19,9,25,16,9,
2015 to 2020,016,45-49,25,15,10,20,14,6,
2015 to 2020,016,50-54,29,18,11,30,21,9,
2015 to 2020,016,55-59,26,15,11,29,17,12,
2015 to 2020,016,60-64,14,8,6,26,16,10,
2015 to 2020,016,65-69,9,6,3,21,11,10,
2015 to 2020,016,70-74,3,2,1,9,6,3,
2015 to 2020,016,75-79,0,0,0,4,2,2,
