periodyear,stfips,areatype,region,area,prior_yr_area,population
2018,02,04,6,000013,000013,1167
2018,02,04,6,000013,000016,2
2018,02,04,6,000013,000020,21
2018,02,04,6,000013,000050,0
2018,02,04,6,000013,000060,0
2018,02,04,6,000013,000068,0
2018,02,04,6,000013,000070,0
2018,02,04,6,000013,000090,2
2018,02,04,6,000013,000100,0
2018,02,04,6,000013,000105,5
2018,02,04,6,000013,000110,3
2018,02,04,6,000013,000122,4
2018,02,04,6,000013,000130,0
2018,02,04,6,000013,000150,0
2018,02,04,6,000013,000158,0
2018,02,04,6,000013,000164,0
2018,02,04,6,000013,000170,5
2018,02,04,6,000013,000180,1
2018,02,04,6,000013,000185,1
2018,02,04,6,000013,000188,0
2018,02,04,6,000013,000195,0
2018,02,04,6,000013,000198,0
2018,02,04,6,000013,000220,0
2018,02,04,6,000013,000230,0
2018,02,04,6,000013,000240,1
2018,02,04,6,000013,000261,3
2018,02,04,6,000013,000275,0
2018,02,04,6,000013,000282,0
2018,02,04,6,000013,000290,0
2018,02,04,6,000013,999999,114
2018,02,04,6,000016,000013,2
2018,02,04,6,000016,000016,2454
2018,02,04,6,000016,000020,67
2018,02,04,6,000016,000050,1
2018,02,04,6,000016,000060,0
2018,02,04,6,000016,000068,0
2018,02,04,6,000016,000070,1
2018,02,04,6,000016,000090,6
2018,02,04,6,000016,000100,0
2018,02,04,6,000016,000105,0
2018,02,04,6,000016,000110,1
2018,02,04,6,000016,000122,3
2018,02,04,6,000016,000130,1
2018,02,04,6,000016,000150,10
2018,02,04,6,000016,000158,0
2018,02,04,6,000016,000164,0
2018,02,04,6,000016,000170,13
2018,02,04,6,000016,000180,2
2018,02,04,6,000016,000185,1
2018,02,04,6,000016,000188,0
2018,02,04,6,000016,000195,0
2018,02,04,6,000016,000198,0
2018,02,04,6,000016,000220,0
2018,02,04,6,000016,000230,1
2018,02,04,6,000016,000240,2
2018,02,04,6,000016,000261,3
2018,02,04,6,000016,000275,0
2018,02,04,6,000016,000282,2
2018,02,04,6,000016,000290,0
2018,02,04,6,000016,999999,313
2018,02,04,1,000020,000013,20
2018,02,04,1,000020,000016,25
2018,02,04,1,000020,000020,237843
2018,02,04,1,000020,000050,165
2018,02,04,1,000020,000060,11
2018,02,04,1,000020,000068,24
2018,02,04,1,000020,000070,76
2018,02,04,1,000020,000090,415
2018,02,04,1,000020,000100,15
2018,02,04,1,000020,000105,2
2018,02,04,1,000020,000110,183
2018,02,04,1,000020,000122,636
2018,02,04,1,000020,000130,31
