x,n,AlaskaTotalOut,AlaskaMaleOut,AlaskaFemaleOut,AleutiansEastTotalOut,AleutiansEastMaleOut,AleutiansEastFemaleOut,AleutiansWestTotalOut,AleutiansWestMaleOut,AleutiansWestFemaleOut,AnchorageTotalOut,AnchorageMaleOut,AnchorageFemaleOut,BethelTotalOut,BethelMaleOut,BethelFemaleOut,BristolBayTotalOut,BristolBayMaleOut,BristolBayFemaleOut,DenaliTotalOut,DenaliMaleOut,DenaliFemaleOut,DillinghamTotalOut,DillinghamMaleOut,DillinghamFemaleOut,FairbanksNorthStarTotalOut,FairbanksNorthStarMaleOut,FairbanksNorthStarFemaleOut,HainesTotalOut,HainesMaleOut,HainesFemaleOut,HoonahAngoonTotalOut,HoonahAngoonMaleOut,HoonahAngoonFemaleOut,JuneauTotalOut,JuneauMaleOut,JuneauFemaleOut,KenaiPeninsulaTotalOut,KenaiPeninsulaMaleOut,KenaiPeninsulaFemaleOut,KetchikanGatewayTotalOut,KetchikanGatewayMaleOut,KetchikanGatewayFemaleOut,KodiakIslandTotalOut,KodiakIslandMaleOut,KodiakIslandFemaleOut,KusilvakTotalOut,KusilvakMaleOut,KusilvakFemaleOut,LakeandPeninsulaTotalOut,LakeandPeninsulaMaleOut,LakeandPeninsulaFemaleOut,MatanuskaSusitnaTotalOut,MatanuskaSusitnaMaleOut,MatanuskaSusitnaFemaleOut,NomeTotalOut,NomeMaleOut,NomeFemaleOut,NorthSlopeTotalOut,NorthSlopeMaleOut,NorthSlopeFemaleOut,NorthwestArcticTotalOut,NorthwestArcticMaleOut,NorthwestArcticFemaleOut,PetersburgTotalOut,PetersburgMaleOut,PetersburgFemaleOut,PrinceofWalesHyderTotalOut,PrinceofWalesHyderMaleOut,PrinceofWalesHyderFemaleOut,SitkaTotalOut,SitkaMaleOut,SitkaFemaleOut,SkagwayTotalOut,SkagwayMaleOut,SkagwayFemaleOut,SoutheastFairbanksTotalOut,SoutheastFairbanksMaleOut,SoutheastFairbanksFemaleOut,ValdezCordovaTotalOut,ValdezCordovaMaleOut,ValdezCordovaFemaleOut,WrangellTotalOut,WrangellMaleOut,WrangellFemaleOut,YakutatTotalOut,YakutatMaleOut,YakutatFemaleOut,YukonKoyukukTotalOut,YukonKoyukukMaleOut,YukonKoyukukFemaleOut,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018; adjusted for two erroneous -1's"
Total,NA,37623,20455,17168,156,89,67,432,258,174,23844,12690,11154,1177,637,540,127,69,58,236,136,100,456,247,209,8773,4646,4127,244,130,114,328,183,145,2794,1482,1312,4252,2299,1953,1380,741,639,1503,801,702,557,299,258,208,109,99,5503,2951,2552,725,394,331,686,386,300,643,344,299,307,172,135,738,404,334,881,463,418,94,50,44,696,376,320,1191,647,544,217,118,99,81,51,30,796,445,351,
0,5,3184,1615,1569,10,6,4,26,11,15,2222,1127,1095,132,70,62,14,8,6,12,6,6,43,27,16,976,497,479,14,8,6,22,10,12,217,116,101,305,149,156,110,54,56,150,70,80,85,46,39,17,6,11,443,221,222,73,39,34,66,40,26,73,37,36,22,14,8,56,28,28,72,40,32,5,3,2,64,31,33,91,55,36,20,11,9,3,2,1,82,43,39,
5,5,2713,1378,1335,9,4,5,23,14,9,1861,954,907,110,57,53,10,5,5,10,4,6,37,17,20,810,407,403,14,7,7,18,7,11,174,86,88,264,137,127,92,46,46,120,60,60,57,30,27,21,11,10,381,193,188,52,27,25,50,26,24,57,26,31,19,12,7,52,24,28,58,28,30,5,2,3,53,29,24,74,36,38,14,7,7,4,3,1,55,28,27,
10,5,2523,1287,1236,9,5,4,25,14,11,1643,833,810,97,50,47,10,5,5,11,7,4,44,22,22,689,347,342,14,7,7,20,10,10,167,85,82,257,133,124,86,45,41,122,61,61,45,22,23,15,8,7,377,195,182,51,27,24,52,27,25,55,27,28,17,9,8,49,27,22,56,27,29,4,2,2,46,22,24,76,37,39,16,9,7,5,3,2,55,28,27,
15,5,2961,1533,1428,11,5,6,29,14,15,1719,900,819,108,55,53,10,5,5,23,12,11,41,21,20,605,314,291,23,14,9,29,16,13,209,107,102,401,193,208,112,55,57,131,63,68,53,27,26,20,9,11,549,282,267,76,40,36,68,35,33,55,27,28,30,15,15,79,39,40,76,37,39,6,3,3,68,37,31,102,52,50,22,10,12,7,4,3,77,37,40,
20,5,4960,2757,2203,12,8,4,32,17,15,2865,1513,1352,121,62,59,14,7,7,26,13,13,49,25,24,1114,597,517,33,17,16,43,22,21,384,201,183,661,366,295,184,95,89,170,88,82,71,35,36,24,12,12,835,441,394,85,47,38,72,38,34,72,41,31,42,21,21,90,51,39,111,61,50,8,4,4,103,56,47,143,75,68,27,15,12,9,6,3,95,53,42,
25,5,3691,2086,1605,10,5,5,32,20,12,2415,1315,1100,108,57,51,8,4,4,18,10,8,40,20,20,1054,559,495,25,12,13,21,12,9,279,149,130,371,216,155,117,64,53,126,69,57,54,30,24,16,10,6,462,253,209,66,34,32,57,31,26,62,35,27,27,16,11,56,32,24,84,43,41,11,6,5,59,33,26,94,49,45,16,9,7,6,3,3,63,38,25,
30,5,3352,1881,1471,14,9,5,39,24,15,2225,1230,995,104,61,43,9,5,4,23,15,8,39,24,15,923,494,429,15,8,7,24,15,9,232,125,107,317,182,135,98,57,41,120,68,52,46,27,19,13,7,6,415,236,179,54,31,23,49,30,19,52,28,24,29,15,14,51,28,23,70,37,33,13,7,6,47,27,20,92,52,40,13,6,7,7,4,3,50,28,22,
35,5,3072,1772,1300,15,9,6,50,33,17,2003,1129,874,92,53,39,11,6,5,20,12,8,35,20,15,728,407,321,16,8,8,23,15,8,219,126,93,274,161,113,114,63,51,146,83,63,32,17,15,13,7,6,386,211,175,57,33,24,54,33,21,52,30,22,24,17,7,49,28,21,75,40,35,7,4,3,37,21,16,92,48,44,14,8,6,7,4,3,64,40,24,
40,5,2848,1622,1226,22,14,8,50,30,20,1847,1023,824,88,51,37,12,7,5,24,14,10,36,21,15,567,307,260,18,10,8,27,15,12,207,111,96,307,171,136,116,67,49,131,75,56,30,17,13,18,11,7,428,242,186,51,28,23,57,35,22,45,28,17,21,12,9,64,35,29,66,38,28,8,4,4,48,27,21,95,55,40,15,8,7,6,4,2,61,34,27,
