x,n,AlaskaTotalOut,AlaskaMaleOut,AlaskaFemaleOut,AleutiansEastTotalOut,AleutiansEastMaleOut,AleutiansEastFemaleOut,AleutiansWestTotalOut,AleutiansWestMaleOut,AleutiansWestFemaleOut,AnchorageTotalOut,AnchorageMaleOut,AnchorageFemaleOut,BethelTotalOut,BethelMaleOut,BethelFemaleOut,BristolBayTotalOut,BristolBayMaleOut,BristolBayFemaleOut,DenaliTotalOut,DenaliMaleOut,DenaliFemaleOut,DillinghamTotalOut,DillinghamMaleOut,DillinghamFemaleOut,FairbanksNorthStarTotalOut,FairbanksNorthStarMaleOut,FairbanksNorthStarFemaleOut,HainesTotalOut,HainesMaleOut,HainesFemaleOut,HoonahAngoonTotalOut,HoonahAngoonMaleOut,HoonahAngoonFemaleOut,JuneauTotalOut,JuneauMaleOut,JuneauFemaleOut,KenaiPeninsulaTotalOut,KenaiPeninsulaMaleOut,KenaiPeninsulaFemaleOut,KetchikanGatewayTotalOut,KetchikanGatewayMaleOut,KetchikanGatewayFemaleOut,KodiakIslandTotalOut,KodiakIslandMaleOut,KodiakIslandFemaleOut,KusilvakTotalOut,KusilvakMaleOut,KusilvakFemaleOut,LakeandPeninsulaTotalOut,LakeandPeninsulaMaleOut,LakeandPeninsulaFemaleOut,MatanuskaSusitnaTotalOut,MatanuskaSusitnaMaleOut,MatanuskaSusitnaFemaleOut,NomeTotalOut,NomeMaleOut,NomeFemaleOut,NorthSlopeTotalOut,NorthSlopeMaleOut,NorthSlopeFemaleOut,NorthwestArcticTotalOut,NorthwestArcticMaleOut,NorthwestArcticFemaleOut,PetersburgTotalOut,PetersburgMaleOut,PetersburgFemaleOut,PrinceofWalesHyderTotalOut,PrinceofWalesHyderMaleOut,PrinceofWalesHyderFemaleOut,SitkaTotalOut,SitkaMaleOut,SitkaFemaleOut,SkagwayTotalOut,SkagwayMaleOut,SkagwayFemaleOut,SoutheastFairbanksTotalOut,SoutheastFairbanksMaleOut,SoutheastFairbanksFemaleOut,ValdezCordovaTotalOut,ValdezCordovaMaleOut,ValdezCordovaFemaleOut,WrangellTotalOut,WrangellMaleOut,WrangellFemaleOut,YakutatTotalOut,YakutatMaleOut,YakutatFemaleOut,YukonKoyukukTotalOut,YukonKoyukukMaleOut,YukonKoyukukFemaleOut,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,39806,21910,17896,67,38,29,417,247,170,25038,13345,11693,1334,737,597,163,95,68,232,134,98,421,223,198,8427,4502,3925,197,105,92,240,129,111,2774,1449,1325,3967,2128,1839,1214,656,558,1360,725,635,624,330,294,186,101,85,6419,3487,2932,738,401,337,660,365,295,618,338,280,296,163,133,617,348,269,806,413,393,93,45,48,688,370,318,1048,559,489,168,93,75,80,44,36,704,391,313,
0,5,3367,1719,1648,5,2,3,32,18,14,2329,1210,1119,148,81,67,14,8,6,15,9,6,41,21,20,968,483,485,11,6,5,20,10,10,219,105,114,270,143,127,102,61,41,128,67,61,87,42,45,18,10,8,551,292,259,75,35,40,73,39,34,68,34,34,27,16,11,45,21,24,78,40,38,6,3,3,62,32,30,67,35,32,11,7,4,9,6,3,55,28,27,
5,5,2733,1410,1323,3,1,2,23,13,10,1862,954,908,108,57,51,11,7,4,14,5,9,31,15,16,714,362,352,10,4,6,16,7,9,162,81,81,236,124,112,75,41,34,113,62,51,63,32,31,14,7,7,442,233,209,64,31,33,50,26,24,45,22,23,21,12,9,38,20,18,57,31,26,5,1,4,54,28,26,69,34,35,7,4,3,2,1,1,53,29,24,
10,5,2339,1181,1158,4,2,2,22,11,11,1544,780,764,84,41,43,10,4,6,10,5,5,28,15,13,560,283,277,10,5,5,10,6,4,136,67,69,217,105,112,67,33,34,95,49,46,47,23,24,13,6,7,400,211,189,45,24,21,35,19,16,40,19,21,14,8,6,34,18,16,42,18,24,4,2,2,48,22,26,65,34,31,8,4,4,4,2,2,39,21,18,
15,5,2984,1539,1445,6,3,3,23,12,11,1731,882,849,119,64,55,13,7,6,18,12,6,44,21,23,558,281,277,15,8,7,18,8,10,204,102,102,338,167,171,98,46,52,123,60,63,66,34,32,17,8,9,589,294,295,72,37,35,67,36,31,62,30,32,28,14,14,74,40,34,57,26,31,6,3,3,66,33,33,99,48,51,17,9,8,11,6,5,72,38,34,
20,5,5231,2941,2290,6,4,2,30,17,13,3157,1651,1506,171,92,79,17,10,7,25,14,11,53,26,27,1069,569,500,20,10,10,33,15,18,385,203,182,599,319,280,164,90,74,152,77,75,89,46,43,22,12,10,940,496,444,88,51,37,86,46,40,86,47,39,41,23,18,77,42,35,106,47,59,6,3,3,87,44,43,138,75,63,27,15,12,13,7,6,93,47,46,
25,5,4523,2635,1888,6,4,2,35,20,15,2959,1619,1340,139,77,62,13,7,6,20,12,8,44,24,20,1127,632,495,14,7,7,22,12,10,321,171,150,402,231,171,115,60,55,120,65,55,70,38,32,18,10,8,669,384,285,72,41,31,61,33,28,64,37,27,26,13,13,49,31,18,89,45,44,10,5,5,60,33,27,86,47,39,17,10,7,5,3,2,68,41,27,
30,5,3494,1986,1508,5,2,3,27,15,12,2289,1247,1042,105,58,47,14,7,7,17,11,6,30,16,14,829,458,371,12,8,4,16,9,7,224,121,103,286,156,130,90,52,38,110,58,52,43,24,19,15,8,7,488,273,215,55,32,23,38,23,15,48,28,20,25,15,10,42,25,17,71,39,32,9,5,4,49,29,20,74,40,34,10,6,4,6,3,3,55,34,21,
35,5,3013,1735,1278,4,3,1,45,28,17,1951,1102,849,87,51,36,10,7,3,17,10,7,25,13,12,641,360,281,15,8,7,13,8,5,193,107,86,252,140,112,86,48,38,106,58,48,42,28,14,10,5,5,430,241,189,50,30,20,41,23,18,41,25,16,18,10,8,36,19,17,55,31,24,11,6,5,48,26,22,66,36,30,8,4,4,8,3,5,45,26,19,
40,5,2676,1552,1124,7,4,3,44,31,13,1684,955,729,90,51,39,11,7,4,17,11,6,27,15,12,508,282,226,16,9,7,15,10,5,180,99,81,238,135,103,80,42,38,108,60,48,29,16,13,12,7,5,413,234,179,48,28,20,43,28,15,35,22,13,20,10,10,43,24,19,54,32,22,5,2,3,42,26,16,75,37,38,8,4,4,4,2,2,43,23,20,
