x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2017 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,710231,369628,340603,3141,2093,1048,5561,3723,1838,291826,148209,143617,17013,8898,8115,997,540,457,1826,1002,824,4847,2541,2306,97581,51531,46050,2508,1274,1234,2149,1164,985,31275,15950,15325,55400,29038,26362,13477,6911,6566,13592,7197,6395,7459,3944,3515,1631,859,772,88995,46040,42955,9492,5058,4434,9430,5904,3526,7523,4029,3494,3203,1650,1553,6172,3403,2769,8881,4481,4400,968,500,468,7026,3915,3111,9639,5145,4494,2369,1242,1127,662,360,302,5588,3027,2561,
0,5,53996,27896,26100,123,68,55,205,106,99,21961,11349,10612,1796,911,885,48,25,23,114,64,50,452,243,209,7922,4114,3808,128,61,67,125,68,57,1982,1017,965,3464,1713,1751,903,454,449,1151,587,564,903,495,408,138,67,71,6900,3616,3284,1017,534,483,747,382,365,882,464,418,186,93,93,457,239,218,624,343,281,49,27,22,486,236,250,621,309,312,129,60,69,40,17,23,443,234,209,
5,5,50887,26038,24849,105,55,50,227,113,114,20618,10542,10076,1762,919,843,59,26,33,114,59,55,409,220,189,6985,3567,3418,135,62,73,110,41,69,1972,998,974,3434,1773,1661,857,455,402,979,504,475,829,424,405,122,63,59,7082,3631,3451,898,450,448,620,317,303,688,343,345,183,79,104,402,210,192,561,278,283,33,18,15,529,304,225,625,318,307,136,65,71,42,22,20,371,182,189,
10,5,50816,26147,24669,88,40,48,226,129,97,20443,10407,10036,1669,871,798,72,34,38,118,54,64,452,236,216,6298,3274,3024,141,84,57,109,47,62,2011,1031,980,3762,1897,1865,876,435,441,1123,601,522,861,459,402,138,67,71,7189,3741,3448,857,455,402,553,291,262,699,344,355,243,140,103,456,251,205,546,302,244,35,17,18,509,273,236,679,327,352,155,84,71,41,19,22,467,237,230,
15,5,52141,27179,24962,104,63,41,249,149,100,21187,10990,10197,1618,832,786,65,37,28,97,52,45,463,241,222,6778,3529,3249,135,64,71,137,80,57,2212,1160,1052,3959,2123,1836,937,491,446,1004,541,463,821,414,407,149,73,76,6985,3580,3405,862,447,415,629,324,305,710,373,337,203,94,109,390,229,161,560,283,277,46,20,26,510,267,243,672,360,312,152,86,66,53,28,25,454,249,205,
20,5,54419,29706,24713,249,187,62,334,233,101,24379,13059,11320,1349,688,661,49,30,19,49,28,21,394,191,203,10095,5789,4306,79,41,38,94,51,43,1934,992,942,3066,1731,1335,824,445,379,962,567,395,724,407,317,129,63,66,5009,2670,2339,730,385,345,752,443,309,708,388,320,165,85,80,340,180,160,519,242,277,39,19,20,377,192,185,552,308,244,116,70,46,34,16,18,368,206,162,
25,5,55419,29307,26112,301,208,93,517,375,142,24820,12820,12000,1210,621,589,65,35,30,96,40,56,311,161,150,9030,5017,4013,115,55,60,124,72,52,2308,1164,1144,3245,1746,1499,983,521,462,1068,576,492,480,241,239,124,64,60,5849,3011,2838,716,387,329,750,453,297,550,270,280,196,97,99,325,177,148,613,299,314,82,36,46,433,246,187,595,335,260,115,60,55,42,27,15,356,193,163,
30,5,47706,24861,22845,213,144,69,455,319,136,20620,10458,10162,1047,536,511,47,26,21,136,66,70,265,139,126,7210,3809,3401,131,67,64,116,56,60,2019,1059,960,3045,1622,1423,834,432,402,955,489,466,367,191,176,102,58,44,5738,2944,2794,626,327,299,650,426,224,430,244,186,174,91,83,338,181,157,641,330,311,107,47,60,460,267,193,543,289,254,88,42,46,36,17,19,313,185,128,
35,5,45833,23731,22102,242,182,60,477,344,133,19569,9843,9726,893,457,436,58,30,28,138,70,68,208,112,96,6492,3417,3075,144,70,74,101,47,54,2033,1052,981,3311,1754,1557,783,379,404,854,446,408,374,211,163,76,41,35,5946,3006,2940,514,269,245,585,411,174,399,220,179,176,84,92,376,192,184,604,311,293,66,40,26,429,235,194,554,284,270,114,59,55,46,28,18,271,137,134,
40,5,47141,24646,22495,355,251,104,660,464,196,19493,9892,9601,965,534,431,67,40,27,131,73,58,273,137,136,5975,3105,2870,161,83,78,125,76,49,2293,1171,1122,3544,1838,1706,916,463,453,936,474,462,405,208,197,86,49,37,6234,3236,2998,541,299,242,638,428,210,442,267,175,215,111,104,419,224,195,561,297,264,93,52,41,483,284,199,663,353,310,127,57,70,48,28,20,292,152,140,
