x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2010 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,680169,352090,328079,2818,1807,1011,4711,3130,1581,281151,142906,138245,16542,8792,7750,1053,579,474,1692,998,694,4758,2489,2269,95354,49643,45711,2387,1210,1177,2194,1208,986,30350,15372,14978,52904,27527,25377,13350,6855,6495,13399,7112,6287,1568,836,732,81012,41764,39248,9458,5120,4338,6669,3572,3097,7421,3966,3455,3993,2101,1892,5374,2961,2413,8678,4456,4222,900,472,428,6569,3397,3172,9818,5237,4581,7332,3837,3495,2316,1203,1113,677,407,270,5721,3133,2588,
0,5,50888,26161,24727,96,46,50,126,54,72,21172,10963,10209,1835,938,897,51,26,25,95,56,39,417,222,195,7770,3973,3797,103,49,54,114,59,55,1857,944,913,3171,1562,1609,839,420,419,1074,547,527,116,59,57,5907,3066,2841,994,523,471,716,371,345,798,415,383,208,104,104,315,165,150,582,316,266,31,19,12,418,186,232,603,300,303,948,504,444,107,48,59,36,20,16,389,206,183,
5,5,48023,24545,23478,82,31,51,166,70,96,19820,10132,9688,1530,837,693,71,37,34,87,55,32,393,214,179,6766,3369,3397,135,61,74,113,48,65,1920,978,942,3327,1666,1661,878,452,426,1083,558,525,119,55,64,5880,2998,2882,784,419,365,583,335,248,689,350,339,285,146,139,415,213,202,547,295,252,31,15,16,447,235,212,659,335,324,634,343,291,148,74,74,32,19,13,399,205,194,
10,5,52379,26838,25541,92,38,54,178,96,82,20946,10707,10239,1803,969,834,86,37,49,102,47,55,496,265,231,6595,3378,3217,139,79,60,151,81,70,2122,1087,1035,3882,1976,1906,951,490,461,1114,579,535,165,90,75,6990,3586,3404,928,493,435,562,266,296,721,340,381,313,166,147,432,238,194,587,301,286,49,23,26,549,267,282,735,368,367,954,493,461,166,88,78,68,38,30,503,252,251,
15,5,55635,28722,26913,107,57,50,197,110,87,21614,11158,10456,1752,855,897,96,57,39,122,72,50,551,269,282,7266,3703,3563,161,83,78,172,87,85,2327,1185,1142,4439,2277,2162,1041,536,505,1177,625,552,165,74,91,7194,3765,3429,998,504,494,741,407,334,855,465,390,330,167,163,407,220,187,621,318,303,37,19,18,575,267,308,829,441,388,980,507,473,191,108,83,50,25,25,640,361,279,
20,5,53080,28696,24384,199,136,63,218,134,84,22771,12081,10690,1317,729,588,57,33,24,57,32,25,347,176,171,9216,5206,4010,119,60,59,121,71,50,2049,1077,972,3538,1998,1540,854,444,410,886,504,382,140,76,64,5610,2977,2633,771,409,362,616,323,293,697,368,329,203,116,87,316,173,143,553,273,280,29,14,15,453,246,207,663,358,305,690,357,333,100,57,43,45,28,17,445,240,205,
25,5,44686,23901,20785,273,189,84,351,277,74,21196,11048,10148,926,484,442,31,16,15,46,31,15,206,110,96,9082,5055,4027,57,24,33,85,50,35,1613,784,829,1822,1049,773,690,385,305,807,454,353,67,40,27,3906,1952,1954,550,323,227,350,168,182,432,216,216,173,87,86,196,112,84,511,283,228,65,31,34,240,113,127,377,250,127,332,169,163,68,37,31,17,14,3,217,150,67,
30,5,45599,23356,22243,167,101,66,395,274,121,20239,10332,9907,995,511,484,52,32,20,129,70,59,248,126,122,7300,3767,3533,98,45,53,99,53,46,1966,989,977,2887,1483,1404,754,383,371,906,471,435,77,38,39,4916,2437,2479,643,337,306,368,208,160,459,258,201,228,122,106,281,142,139,562,281,281,104,46,58,412,203,209,518,233,285,392,195,197,86,36,50,35,20,15,283,163,120,
35,5,46900,24112,22788,253,191,62,539,384,155,20238,10214,10024,964,505,459,61,31,30,136,76,60,250,137,113,6440,3287,3153,155,77,78,112,65,47,2196,1163,1033,3314,1696,1618,934,459,475,1011,541,470,59,36,23,5711,2857,2854,529,293,236,366,206,160,407,237,170,277,145,132,331,166,165,633,324,309,67,42,25,396,187,209,645,345,300,413,222,191,120,58,62,57,35,22,286,133,153,
40,5,51570,26666,24904,375,264,111,626,447,179,21556,10848,10708,1163,662,501,94,51,43,139,77,62,357,182,175,6598,3371,3227,165,83,82,174,93,81,2442,1215,1227,3815,1990,1825,1049,559,490,1085,537,548,122,72,50,6394,3284,3110,680,393,287,513,285,228,505,278,227,284,144,140,428,228,200,606,333,273,85,48,37,488,253,235,777,409,368,426,231,195,147,68,79,56,35,21,421,226,195,
