x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,LakeandPensulaTotal,LakeandPensulaMale,LakeandPensulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2017 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,737467,382044,355423,3047,2010,1037,5534,3680,1854,298799,151162,147637,18198,9428,8770,887,481,406,1790,991,799,5010,2588,2422,98727,51814,46913,2493,1255,1238,2177,1165,1012,33145,16849,16296,57707,30161,27546,13813,7040,6773,13795,7263,6532,8204,4274,3930,1677,899,778,99969,51691,48278,10058,5383,4675,9887,6113,3774,7883,4226,3657,3185,1640,1545,6536,3571,2965,8922,4454,4468,1045,523,522,6897,3813,3084,9536,5050,4486,2445,1245,1200,610,337,273,5491,2938,2553,
0,5,53052,27086,25966,87,42,45,202,103,99,21306,10992,10314,1873,968,905,45,24,21,98,61,37,467,211,256,7308,3680,3628,105,50,55,128,65,63,2035,1069,966,3540,1816,1724,890,434,456,1029,527,502,894,460,434,141,74,67,7455,3771,3684,998,520,478,736,352,384,799,442,357,215,104,111,419,216,203,509,237,272,59,25,34,450,210,240,649,324,325,143,73,70,44,23,21,428,213,215,
5,5,54143,28042,26101,95,46,49,224,116,108,21107,10885,10222,1862,933,929,34,17,17,103,60,43,453,246,207,7055,3721,3334,144,74,70,131,76,55,2097,1029,1068,3744,1908,1836,834,437,397,1036,519,517,952,525,427,151,89,62,8306,4339,3967,1027,538,489,745,391,354,837,413,424,195,101,94,514,253,261,623,357,266,49,30,19,527,289,238,658,328,330,143,56,87,27,12,15,470,254,216,
10,5,50928,26127,24801,72,41,31,203,117,86,20000,10307,9693,1726,890,836,48,23,25,110,55,55,391,197,194,6488,3355,3133,114,62,52,125,54,71,2050,1027,1023,3711,1855,1856,856,441,415,953,486,467,899,439,460,114,55,59,7881,4071,3810,944,486,458,641,332,309,705,357,348,194,96,98,454,245,209,532,255,277,32,14,18,516,283,233,631,305,326,132,72,60,41,18,23,365,189,176,
15,5,48157,25230,22927,104,58,46,233,139,94,19124,9713,9411,1621,864,757,67,36,31,93,42,51,417,215,202,6101,3265,2836,120,63,57,107,47,60,2009,1067,942,3545,1874,1671,929,484,445,1001,556,445,822,424,398,120,55,65,7077,3831,3246,779,425,354,545,292,253,649,338,311,176,100,76,382,214,168,528,283,245,22,8,14,424,219,205,579,306,273,126,71,55,32,16,16,425,225,200,
20,5,52934,28850,24084,222,172,50,291,199,92,23954,12894,11060,1437,701,736,36,23,13,48,24,24,391,211,180,8990,5208,3782,77,43,34,79,46,33,1953,995,958,2970,1685,1285,810,438,372,915,495,420,763,405,358,119,60,59,5558,2911,2647,759,396,363,694,413,281,614,328,286,130,62,68,319,187,132,503,247,256,50,23,27,347,185,162,463,264,199,114,64,50,36,21,15,292,150,142,
25,5,58202,30529,27673,197,144,53,488,347,141,25730,13267,12463,1533,786,747,62,29,33,103,40,63,430,230,200,8584,4611,3973,118,63,55,110,60,50,2611,1327,1284,3487,1865,1622,969,512,457,1166,672,494,756,401,355,130,73,57,6370,3239,3131,865,469,396,904,567,337,705,378,327,193,92,101,366,190,176,600,277,323,70,26,44,410,220,190,678,372,306,158,61,97,21,7,14,388,204,184,
30,5,56936,29539,27397,281,189,92,482,318,164,24677,12524,12153,1225,627,598,55,27,28,146,77,69,283,134,149,8155,4313,3842,149,75,74,121,70,51,2674,1375,1299,3686,1966,1720,887,455,432,1047,555,492,466,239,227,138,63,75,7246,3680,3566,714,374,340,930,603,327,577,311,266,180,84,96,393,207,186,625,292,333,110,54,56,520,293,227,651,342,309,129,72,57,40,26,14,349,194,155,
35,5,47825,24739,23086,263,179,84,524,367,157,19929,9933,9996,967,491,476,41,21,20,132,63,69,266,133,133,6434,3328,3106,139,66,73,114,47,67,2219,1143,1076,3449,1855,1594,836,416,420,890,459,431,379,206,173,118,68,50,6592,3417,3175,623,335,288,717,505,212,405,216,189,208,101,107,382,205,177,660,360,300,79,42,37,428,239,189,557,293,264,88,42,46,47,29,18,339,180,159,
40,5,43970,22737,21233,254,171,83,427,312,115,18196,9117,9079,879,432,447,66,39,27,117,59,58,207,108,99,5914,3114,2800,127,67,60,110,63,47,2080,1065,1015,3363,1766,1597,799,393,406,771,383,388,357,187,170,68,36,32,6260,3237,3023,536,300,236,525,338,187,391,201,190,171,87,84,384,198,186,543,282,261,95,55,40,411,239,172,526,276,250,110,55,55,31,20,11,252,137,115,
