x,n,AlaskaTotalIn,AlaskaMaleIn,AlaskaFemaleIn,Aleutians East BoroughTotalIn,Aleutians East BoroughMaleIn,Aleutians East BoroughFemaleIn,Aleutians West Census AreaTotalIn,Aleutians West Census AreaMaleIn,Aleutians West Census AreaFemaleIn,Anchorage MunicipalityTotalIn,Anchorage MunicipalityMaleIn,Anchorage MunicipalityFemaleIn,Bethel Census AreaTotalIn,Bethel Census AreaMaleIn,Bethel Census AreaFemaleIn,Bristol Bay BoroughTotalIn,Bristol Bay BoroughMaleIn,Bristol Bay BoroughFemaleIn,Chugach Census AreaTotalIn,Chugach Census AreaMaleIn,Chugach Census AreaFemaleIn,Copper River Census AreaTotalIn,Copper River Census AreaMaleIn,Copper River Census AreaFemaleIn,Denali BoroughTotalIn,Denali BoroughMaleIn,Denali BoroughFemaleIn,Dillingham Census AreaTotalIn,Dillingham Census AreaMaleIn,Dillingham Census AreaFemaleIn,Fairbanks North Star BoroughTotalIn,Fairbanks North Star BoroughMaleIn,Fairbanks North Star BoroughFemaleIn,Haines BoroughTotalIn,Haines BoroughMaleIn,Haines BoroughFemaleIn,Hoonah-Angoon Census AreaTotalIn,Hoonah-Angoon Census AreaMaleIn,Hoonah-Angoon Census AreaFemaleIn,Juneau City and BoroughTotalIn,Juneau City and BoroughMaleIn,Juneau City and BoroughFemaleIn,Kenai Peninsula BoroughTotalIn,Kenai Peninsula BoroughMaleIn,Kenai Peninsula BoroughFemaleIn,Ketchikan Gateway BoroughTotalIn,Ketchikan Gateway BoroughMaleIn,Ketchikan Gateway BoroughFemaleIn,Kodiak Island BoroughTotalIn,Kodiak Island BoroughMaleIn,Kodiak Island BoroughFemaleIn,Kusilvak Census AreaTotalIn,Kusilvak Census AreaMaleIn,Kusilvak Census AreaFemaleIn,Lake and Peninsula BoroughTotalIn,Lake and Peninsula BoroughMaleIn,Lake and Peninsula BoroughFemaleIn,Matanuska-Susitna BoroughTotalIn,Matanuska-Susitna BoroughMaleIn,Matanuska-Susitna BoroughFemaleIn,Nome Census AreaTotalIn,Nome Census AreaMaleIn,Nome Census AreaFemaleIn,North Slope BoroughTotalIn,North Slope BoroughMaleIn,North Slope BoroughFemaleIn,Northwest Arctic BoroughTotalIn,Northwest Arctic BoroughMaleIn,Northwest Arctic BoroughFemaleIn,Petersburg BoroughTotalIn,Petersburg BoroughMaleIn,Petersburg BoroughFemaleIn,Prince of Wales-Hyder Census AreaTotalIn,Prince of Wales-Hyder Census AreaMaleIn,Prince of Wales-Hyder Census AreaFemaleIn,Sitka City and BoroughTotalIn,Sitka City and BoroughMaleIn,Sitka City and BoroughFemaleIn,"Skagway Borough, Municipality ofTotalIn","Skagway Borough, Municipality ofMaleIn","Skagway Borough, Municipality ofFemaleIn",Southeast Fairbanks Census AreaTotalIn,Southeast Fairbanks Census AreaMaleIn,Southeast Fairbanks Census AreaFemaleIn,Wrangell City and BoroughTotalIn,Wrangell City and BoroughMaleIn,Wrangell City and BoroughFemaleIn,Yakutat City and BoroughTotalIn,Yakutat City and BoroughMaleIn,Yakutat City and BoroughFemaleIn,Yukon-Koyukuk Census AreaTotalIn,Yukon-Koyukuk Census AreaMaleIn,Yukon-Koyukuk Census AreaFemaleIn,"From http://live.laborstats.alaska.gov/pop/migration.cfm, February 2021"
Total,NA,37873,20812,17061,143,85,58,334,192,142,20874,10961,9913,1061,590,471,107,60,47,546,298,248,295,165,130,176,96,80,340,186,154,6962,3718,3244,205,107,98,174,92,82,2261,1202,1059,4365,2340,2025,1037,561,476,1039,563,476,497,290,207,139,73,66,9096,4838,4258,644,353,291,596,322,274,524,293,231,221,119,102,486,280,206,647,343,304,113,60,53,621,327,294,169,94,75,50,28,22,502,281,221,
0,5,3090,1573,1517,4,1,3,20,9,11,1905,947,958,127,63,64,10,6,4,43,25,18,29,16,13,11,6,5,37,20,17,686,355,331,18,9,9,12,6,6,160,83,77,338,173,165,74,43,31,104,55,49,78,42,36,12,5,7,913,489,424,65,35,30,64,32,32,60,33,27,22,12,10,49,26,23,44,28,16,10,6,4,68,34,34,13,7,6,5,3,2,48,23,25,
5,5,2648,1357,1291,6,2,4,22,10,12,1485,755,730,85,42,43,8,4,4,40,22,18,23,14,9,12,6,6,26,12,14,564,289,275,12,6,6,11,6,5,134,67,67,272,140,132,72,37,35,95,51,44,45,22,23,9,5,4,736,375,361,44,18,26,50,24,26,50,24,26,14,6,8,33,16,17,38,19,19,7,4,3,52,27,25,12,6,6,3,1,2,38,21,17,
10,5,2136,1089,1047,6,3,3,13,7,6,1207,620,587,60,30,30,5,3,2,35,20,15,20,11,9,7,3,4,21,11,10,441,232,209,10,6,4,10,4,6,114,55,59,246,127,119,63,32,31,72,39,33,38,20,18,9,4,5,628,329,299,36,18,18,47,22,25,33,18,15,12,6,6,28,15,13,32,16,16,6,4,2,42,22,20,11,6,5,3,2,1,33,18,15,
15,5,2108,1116,992,7,4,3,14,8,6,1183,592,591,68,34,34,8,4,4,32,15,17,15,8,7,9,4,5,19,8,11,400,200,200,9,4,5,10,5,5,122,63,59,227,121,106,55,26,29,57,30,27,38,22,16,12,6,6,529,276,253,37,19,18,40,22,18,36,19,17,10,5,5,26,18,8,37,19,18,4,2,2,35,19,16,11,6,5,3,1,2,35,18,17,
20,5,4299,2382,1917,12,6,6,28,16,12,2420,1249,1171,122,64,58,8,4,4,50,29,21,18,9,9,12,6,6,38,20,18,824,438,386,14,6,8,13,7,6,221,112,109,378,201,177,87,47,40,86,43,43,58,33,25,14,6,8,814,418,396,71,36,35,57,32,25,55,29,26,18,9,9,38,20,18,54,26,28,8,4,4,54,24,30,12,6,6,5,3,2,42,22,20,
25,5,5166,2852,2314,14,8,6,42,23,19,2955,1568,1387,132,77,55,12,6,6,69,36,33,25,12,13,21,11,10,47,26,21,975,514,461,19,9,10,14,8,6,305,159,146,488,255,233,111,61,50,116,61,55,54,34,20,19,11,8,1052,550,502,85,47,38,73,41,32,63,33,30,28,15,13,46,24,22,86,42,44,12,6,6,67,36,31,15,8,7,5,3,2,47,26,21,
30,5,4303,2453,1850,13,8,5,33,19,14,2446,1315,1131,102,62,40,12,7,5,68,37,31,25,12,13,21,11,10,32,20,12,801,431,370,22,11,11,16,9,7,268,143,125,434,239,195,115,60,55,118,65,53,42,29,13,13,8,5,958,525,433,70,41,29,56,33,23,48,30,18,24,15,9,48,26,22,79,42,37,17,9,8,52,28,24,13,8,5,6,3,3,47,27,20,
35,5,3232,1885,1347,15,9,6,27,16,11,1747,975,772,78,52,26,7,4,3,49,28,21,29,16,13,20,12,8,26,16,10,606,337,269,16,8,8,13,7,6,210,116,94,358,199,159,98,57,41,104,57,47,33,23,10,9,5,4,744,414,330,48,30,18,42,26,16,33,21,12,16,9,7,32,21,11,60,30,30,12,6,6,42,21,21,14,9,5,4,3,1,36,21,15,
40,5,2222,1304,918,12,7,5,28,19,9,1155,643,512,49,30,19,8,4,4,35,20,15,19,11,8,13,7,6,18,9,9,397,228,169,13,7,6,9,4,5,152,91,61,276,159,117,71,41,30,68,39,29,25,15,10,7,4,3,525,296,229,38,24,14,26,13,13,30,18,12,11,6,5,27,17,10,44,26,18,9,5,4,40,22,18,11,5,6,3,2,1,31,20,11,
45,5,1953,1140,813,14,10,4,25,15,10,1004,561,443,50,31,19,8,5,3,30,18,12,20,14,6,11,5,6,18,10,8,300,172,128,12,7,5,11,7,4,123,74,49,242,133,109,60,31,29,53,31,22,17,11,6,5,3,2,453,250,203,32,20,12,33,18,15,25,15,10,11,6,5,27,16,11,33,18,15,8,3,5,30,18,12,11,6,5,3,1,2,22,12,10,
50,5,1822,1040,782,15,9,6,29,18,11,897,492,405,51,30,21,5,4,1,23,11,12,19,10,9,10,6,4,16,10,6,252,140,112,13,7,6,9,6,3,123,68,55,243,137,106,55,31,24,50,30,20,20,13,7,9,4,5,425,231,194,36,21,15,35,20,15,26,16,10,11,6,5,29,19,10,32,19,13,5,3,2,32,18,14,9,5,4,2,1,1,27,16,11,
55,5,1631,920,711,11,8,3,26,15,11,814,439,375,52,28,24,6,3,3,27,14,13,19,11,8,11,7,4,15,9,6,233,128,105,12,7,5,12,6,6,116,63,53,248,128,120,55,31,24,39,21,18,19,10,9,10,6,4,413,222,191,30,17,13,29,16,13,23,14,9,12,7,5,32,18,14,31,18,13,5,3,2,31,18,13,10,6,4,3,2,1,30,17,13,
60,5,1251,688,563,8,5,3,14,8,6,615,322,293,37,22,15,5,3,2,17,9,8,14,8,6,9,6,3,11,6,5,179,95,84,14,8,6,12,6,6,80,43,37,234,125,109,45,25,20,31,18,13,11,6,5,4,2,2,340,180,160,20,10,10,20,11,9,18,11,7,9,5,4,29,17,12,25,13,12,4,2,2,25,14,11,9,6,3,4,2,2,25,17,8,
65,5,836,456,380,4,3,1,9,6,3,414,209,205,20,13,7,3,2,1,11,6,5,8,6,2,5,4,1,7,4,3,122,67,55,10,6,4,10,4,6,53,29,24,175,99,76,30,16,14,18,9,9,9,5,4,3,2,1,245,129,116,13,7,6,11,6,5,8,5,3,9,5,4,19,12,7,21,11,10,4,2,2,22,12,10,8,4,4,1,1,0,17,10,7,
70,5,506,261,245,1,1,0,3,2,1,252,122,130,11,5,6,2,1,1,7,4,3,7,4,3,2,1,1,3,2,1,79,43,36,5,4,1,6,4,2,36,18,18,97,53,44,17,10,7,13,7,6,4,3,1,3,1,2,133,69,64,10,6,4,6,3,3,5,3,2,4,2,2,10,7,3,10,6,4,2,1,1,12,7,5,5,3,2,0,0,0,10,6,4,
75,5,311,152,159,1,1,0,0,0,0,161,71,90,9,3,6,0,0,0,6,3,3,3,2,1,2,1,1,4,2,2,49,26,23,2,1,1,4,2,2,17,8,9,51,28,23,13,6,7,6,3,3,2,1,1,1,1,0,86,43,43,4,2,2,3,1,2,4,2,2,5,3,2,6,4,2,7,4,3,0,0,0,8,4,4,3,2,1,0,0,0,5,3,2,
80,5,182,79,103,0,0,0,0,0,0,108,43,65,4,2,2,0,0,0,1,0,1,2,1,1,0,0,0,2,1,1,24,11,13,1,0,1,2,1,1,13,5,8,26,12,14,9,5,4,4,2,2,3,1,2,0,0,0,50,21,29,3,1,2,2,1,1,3,1,2,2,1,1,5,3,2,7,3,4,0,0,0,5,2,3,2,1,1,0,0,0,5,3,2,
85,Inf,177,65,112,0,0,0,1,1,0,106,38,68,4,2,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,30,12,18,3,1,2,0,0,0,14,5,9,32,11,21,7,2,5,5,2,3,1,0,1,0,0,0,52,21,31,2,1,1,2,1,1,4,1,3,3,1,2,2,1,1,7,3,4,0,0,0,4,1,3,0,0,0,0,0,0,4,1,3,
