"FIPS","AreaName","AgeNumber","Age","Total_In2015to2020","Male_In2015to2020","Female_In2015to2020","Total_Out2015to2020","Male_Out2015to2020","Female_Out2015to2020","Total_Net2015to2020","Male_Net2015to2020","Female_Net2015to2020","Total_In2010to2015","Male_In2010to2015","Female_In2010to2015","Total_Out2010to2015","Male_Out2010to2015","Female_Out2010to2015","Total_Net2010to2015","Male_Net2010to2015","Female_Net2010to2015","Total_In2005to2010","Male_In2005to2010","Female_In2005to2010","Total_Out2005to2010","Male_Out2005to2010","Female_Out2005to2010","Total_Net2005to2010","Male_Net2005to2010","Female_Net2005to2010","Total_In2000to2005","Male_In2000to2005","Female_In2000to2005","Total_Out2000to2005","Male_Out2000to2005","Female_Out2000to2005","Total_Net2000to2005","Male_Net2000to2005","Female_Net2000to2005","Total_In1995to2000","Male_In1995to2000","Female_In1995to2000","Total_Out1995to2000","Male_Out1995to2000","Female_Out1995to2000","Total_Net1995to2000","Male_Net1995to2000","Female_Net1995to2000","Total_In1990to1995","Male_In1990to1995","Female_In1990to1995","Total_Out1990to1995","Male_Out1990to1995","Female_Out1990to1995","Total_Net1990to1995","Male_Net1990to1995","Female_Net1990to1995","Total_In1985to1990","Male_In1985to1990","Female_In1985to1990","Total_Out1985to1990","Male_Out1985to1990","Female_Out1985to1990","Total_Net1985to1990","Male_Net1985to1990","Female_Net1985to1990"
"000","Alaska",0,"Total",37873,20812,17061,45525,24973,20552,-7652,-4161,-3491,44125,24376,19749,46749,25664,21085,-2624,-1288,-1336,41483,22968,18515,39806,21910,17896,1677,1058,619,38341,20725,17616,37623,20455,17168,718,270,448,40353,21882,18471,42325,22847,19478,-1972,-965,-1007,44967,24487,20480,44175,24203,19972,792,284,508,41978,22598,19380,49866,26657,23209,-7888,-4059,-3829
"000","Alaska",1,"0-4",3090,1573,1517,3467,1796,1671,-377,-223,-154,4013,2063,1950,4130,2131,1999,-117,-68,-49,3760,1897,1863,3367,1719,1648,393,178,215,3560,1825,1735,3184,1615,1569,376,210,166,4075,2085,1990,3938,2023,1915,137,62,75,4812,2491,2321,4774,2452,2322,38,39,-1,4886,2558,2328,6174,3149,3025,-1288,-591,-697
"000","Alaska",2,"5-9",2648,1357,1291,2923,1494,1429,-275,-137,-138,3155,1613,1542,3312,1671,1641,-157,-58,-99,2977,1538,1439,2733,1410,1323,244,128,116,3061,1564,1497,2713,1378,1335,348,186,162,3477,1775,1702,3529,1817,1712,-52,-42,-10,3837,2002,1835,3723,1928,1795,114,74,40,3794,1958,1836,4499,2313,2186,-705,-355,-350
"000","Alaska",3,"10-14",2136,1089,1047,2509,1280,1229,-373,-191,-182,2582,1321,1261,2685,1369,1316,-103,-48,-55,2511,1305,1206,2339,1181,1158,172,124,48,2786,1462,1324,2523,1287,1236,263,175,88,2854,1515,1339,2986,1521,1465,-132,-6,-126,3173,1684,1489,3030,1590,1440,143,94,49,3119,1646,1473,3449,1805,1644,-330,-159,-171
"000","Alaska",4,"15-19",2108,1116,992,2888,1500,1388,-780,-384,-396,2615,1393,1222,2994,1568,1426,-379,-175,-204,2656,1383,1273,2984,1539,1445,-328,-156,-172,2545,1317,1228,2961,1533,1428,-416,-216,-200,2383,1272,1111,3258,1706,1552,-875,-434,-441,2786,1440,1346,3066,1596,1470,-280,-156,-124,3194,1616,1578,3673,1897,1776,-479,-281,-198
"000","Alaska",5,"20-24",4299,2382,1917,4985,2746,2239,-686,-364,-322,5746,3202,2544,5574,3117,2457,172,85,87,5702,3226,2476,5231,2941,2290,471,285,186,4959,2708,2251,4960,2757,2203,-1,-49,48,4669,2534,2135,4840,2654,2186,-171,-120,-51,5665,3028,2637,5069,2742,2327,596,286,310,6021,3153,2868,5776,2970,2806,245,183,62
"000","Alaska",6,"25-29",5166,2852,2314,5182,2940,2242,-16,-88,72,6315,3542,2773,5542,3163,2379,773,379,394,5520,3125,2395,4523,2635,1888,997,490,507,4609,2544,2065,3691,2086,1605,918,458,460,5320,2905,2415,4548,2491,2057,772,414,358,6394,3553,2841,5027,2781,2246,1367,772,595,6220,3378,2842,6698,3589,3109,-478,-211,-267
"000","Alaska",7,"30-34",4303,2453,1850,4585,2629,1956,-282,-176,-106,4749,2714,2035,4607,2643,1964,142,71,71,3990,2292,1698,3494,1986,1508,496,306,190,3939,2175,1764,3352,1881,1471,587,294,293,4738,2632,2106,4266,2324,1942,472,308,164,5671,3189,2482,4982,2827,2155,689,362,327,4921,2743,2178,5899,3193,2706,-978,-450,-528
"000","Alaska",8,"35-39",3232,1885,1347,3709,2150,1559,-477,-265,-212,3340,1946,1394,3382,1963,1419,-42,-17,-25,3293,1897,1396,3013,1735,1278,280,162,118,3346,1899,1447,3072,1772,1300,274,127,147,4073,2322,1751,4125,2337,1788,-52,-15,-37,4400,2510,1890,4348,2503,1845,52,7,45,3600,2098,1502,4623,2598,2025,-1023,-500,-523
"000","Alaska",9,"40-44",2222,1304,918,2659,1554,1105,-437,-250,-187,2688,1575,1113,2836,1645,1191,-148,-70,-78,2856,1694,1162,2676,1552,1124,180,142,38,2817,1614,1203,2848,1622,1226,-31,-8,-23,2992,1707,1285,3223,1801,1422,-231,-94,-137,3060,1783,1277,3266,1896,1370,-206,-113,-93,2185,1279,906,3082,1777,1305,-897,-498,-399
