x,n,AlaskaTotalIn,AlaskaMaleIn,AlaskaFemaleIn,Aleutians East BoroughTotalIn,Aleutians East BoroughMaleIn,Aleutians East BoroughFemaleIn,Aleutians West Census AreaTotalIn,Aleutians West Census AreaMaleIn,Aleutians West Census AreaFemaleIn,Anchorage MunicipalityTotalIn,Anchorage MunicipalityMaleIn,Anchorage MunicipalityFemaleIn,Bethel Census AreaTotalIn,Bethel Census AreaMaleIn,Bethel Census AreaFemaleIn,Bristol Bay BoroughTotalIn,Bristol Bay BoroughMaleIn,Bristol Bay BoroughFemaleIn,Chugach Census AreaTotalIn,Chugach Census AreaMaleIn,Chugach Census AreaFemaleIn,Copper River Census AreaTotalIn,Copper River Census AreaMaleIn,Copper River Census AreaFemaleIn,Denali BoroughTotalIn,Denali BoroughMaleIn,Denali BoroughFemaleIn,Dillingham Census AreaTotalIn,Dillingham Census AreaMaleIn,Dillingham Census AreaFemaleIn,Fairbanks North Star BoroughTotalIn,Fairbanks North Star BoroughMaleIn,Fairbanks North Star BoroughFemaleIn,Haines BoroughTotalIn,Haines BoroughMaleIn,Haines BoroughFemaleIn,Hoonah-Angoon Census AreaTotalIn,Hoonah-Angoon Census AreaMaleIn,Hoonah-Angoon Census AreaFemaleIn,Juneau City and BoroughTotalIn,Juneau City and BoroughMaleIn,Juneau City and BoroughFemaleIn,Kenai Peninsula BoroughTotalIn,Kenai Peninsula BoroughMaleIn,Kenai Peninsula BoroughFemaleIn,Ketchikan Gateway BoroughTotalIn,Ketchikan Gateway BoroughMaleIn,Ketchikan Gateway BoroughFemaleIn,Kodiak Island BoroughTotalIn,Kodiak Island BoroughMaleIn,Kodiak Island BoroughFemaleIn,Kusilvak Census AreaTotalIn,Kusilvak Census AreaMaleIn,Kusilvak Census AreaFemaleIn,Lake and Peninsula BoroughTotalIn,Lake and Peninsula BoroughMaleIn,Lake and Peninsula BoroughFemaleIn,Matanuska-Susitna BoroughTotalIn,Matanuska-Susitna BoroughMaleIn,Matanuska-Susitna BoroughFemaleIn,Nome Census AreaTotalIn,Nome Census AreaMaleIn,Nome Census AreaFemaleIn,North Slope BoroughTotalIn,North Slope BoroughMaleIn,North Slope BoroughFemaleIn,Northwest Arctic BoroughTotalIn,Northwest Arctic BoroughMaleIn,Northwest Arctic BoroughFemaleIn,Petersburg BoroughTotalIn,Petersburg BoroughMaleIn,Petersburg BoroughFemaleIn,Prince of Wales-Hyder Census AreaTotalIn,Prince of Wales-Hyder Census AreaMaleIn,Prince of Wales-Hyder Census AreaFemaleIn,Sitka City and BoroughTotalIn,Sitka City and BoroughMaleIn,Sitka City and BoroughFemaleIn,"Skagway Borough, Municipality ofTotalIn","Skagway Borough, Municipality ofMaleIn","Skagway Borough, Municipality ofFemaleIn",Southeast Fairbanks Census AreaTotalIn,Southeast Fairbanks Census AreaMaleIn,Southeast Fairbanks Census AreaFemaleIn,Wrangell City and BoroughTotalIn,Wrangell City and BoroughMaleIn,Wrangell City and BoroughFemaleIn,Yakutat City and BoroughTotalIn,Yakutat City and BoroughMaleIn,Yakutat City and BoroughFemaleIn,Yukon-Koyukuk Census AreaTotalIn,Yukon-Koyukuk Census AreaMaleIn,Yukon-Koyukuk Census AreaFemaleIn,"From http://live.laborstats.alaska.gov/pop/migration.cfm, February 2021"
Total,NA,45525,24973,20552,179,112,67,351,202,149,25267,13349,11918,1424,768,656,111,62,49,604,322,282,305,165,140,176,98,78,448,233,215,8361,4462,3899,211,114,97,203,112,91,2684,1424,1260,4356,2348,2008,1117,595,522,1384,748,636,698,386,312,184,101,83,8455,4546,3909,817,442,375,723,398,325,693,372,321,229,128,101,578,330,248,745,387,358,102,53,49,663,351,312,184,102,82,59,34,25,617,339,278,
0,5,3467,1796,1671,5,3,2,22,8,14,2195,1140,1055,133,66,67,8,4,4,36,22,14,24,12,12,11,7,4,39,16,23,755,384,371,14,7,7,12,5,7,166,91,75,305,155,150,71,31,40,112,58,54,85,39,46,18,10,8,714,385,329,78,41,37,59,29,30,71,34,37,17,11,6,38,23,15,45,20,25,7,3,4,57,29,28,10,6,4,4,2,2,53,28,25,
5,5,2923,1494,1429,6,3,3,16,9,7,1750,897,853,117,57,60,5,3,2,35,16,19,20,10,10,8,4,4,36,16,20,635,337,298,10,6,4,11,7,4,144,69,75,241,125,116,64,34,30,108,55,53,70,35,35,13,7,6,600,309,291,66,28,38,58,28,30,60,29,31,14,7,7,37,18,19,41,20,21,4,2,2,52,27,25,8,4,4,3,2,1,48,26,22,
10,5,2509,1280,1229,6,4,2,12,6,6,1434,733,701,91,46,45,4,3,1,34,17,17,17,10,7,7,4,3,27,12,15,542,290,252,9,4,5,11,5,6,121,58,63,226,119,107,57,29,28,89,49,40,57,31,26,10,6,4,521,268,253,53,24,29,48,25,23,49,26,23,9,5,4,36,19,17,38,19,19,4,2,2,45,22,23,8,4,4,4,3,1,41,19,22,
15,5,2888,1500,1388,8,4,4,19,10,9,1541,795,746,116,59,57,8,4,4,42,21,21,23,10,13,10,5,5,31,13,18,520,273,247,13,7,6,14,7,7,172,94,78,296,149,147,80,38,42,101,51,50,61,31,30,15,7,8,639,335,304,64,32,32,65,35,30,57,27,30,15,8,7,47,26,21,53,26,27,4,2,2,59,27,32,12,6,6,4,2,2,58,27,31,
20,5,4985,2746,2239,15,8,7,26,14,12,2719,1408,1311,170,92,78,10,6,4,72,38,34,32,16,16,14,7,7,53,28,25,927,483,444,18,9,9,18,10,8,287,142,145,530,281,249,122,66,56,143,74,69,91,50,41,21,12,9,1024,537,487,85,45,40,65,36,29,79,39,40,32,17,15,60,33,27,74,37,37,7,3,4,77,37,40,24,14,10,7,4,3,57,31,26,
25,5,5182,2940,2242,17,10,7,30,17,13,3090,1663,1427,159,85,74,10,6,4,59,34,25,21,10,11,17,9,8,53,31,22,1042,565,477,16,8,8,17,10,7,304,162,142,450,248,202,111,61,50,132,73,59,77,46,31,22,13,9,901,482,419,89,50,39,78,48,30,81,45,36,22,12,10,52,30,22,84,40,44,12,6,6,62,33,29,19,10,9,5,3,2,56,30,26,
30,5,4585,2629,1956,16,10,6,30,16,14,2702,1463,1239,135,81,54,14,7,7,58,31,27,25,14,11,15,7,8,41,24,17,876,474,402,18,9,9,16,9,7,273,142,131,375,216,159,99,57,42,131,70,61,63,38,25,19,10,9,801,448,353,82,45,37,69,41,28,66,40,26,21,12,9,41,24,17,72,39,33,12,7,5,50,27,23,16,10,6,5,3,2,53,31,22,
35,5,3709,2150,1559,17,11,6,30,18,12,2084,1157,927,101,60,41,8,4,4,42,24,18,23,13,10,17,10,7,29,16,13,691,374,317,15,8,7,11,7,4,224,129,95,311,177,134,80,47,33,119,65,54,43,27,16,12,6,6,609,349,260,59,37,22,48,30,18,41,23,18,15,9,6,42,25,17,60,32,28,11,5,6,45,23,22,9,6,3,4,3,1,45,26,19,
40,5,2659,1554,1105,13,8,5,25,16,9,1424,799,625,68,40,28,8,5,3,36,18,18,14,8,6,11,7,4,26,14,12,487,277,210,11,8,3,12,7,5,157,90,67,262,147,115,66,37,29,86,49,37,31,21,10,10,5,5,461,259,202,41,23,18,32,19,13,33,21,12,12,8,4,31,19,12,46,26,20,7,4,3,40,22,18,10,6,4,4,2,2,34,21,13,
